rating,word
9,build
9,good
9,bearable
9,shower
9,hot
9,minute
9,second
9,cold
9,hot
9,check
9,great
9,furnish
9,modern
9,apartment
9,clean
9,free
9,outside
9,message
10,lovely
10,rural
10,beautiful
10,good
10,warm
10,stay
10,arrive
10,welcome
10,garden
10,beautiful
10,clean
10,comfortable
10,elegant
10,available
10,wonderful
10,extra
10,large
10,luxurious
10,fresh
10,soft
10,outstanding
10,fresh
10,surprised
9,strange
9,double
9,great
9,great
9,free
9,right
9,free
9,weather
9,good
8,open
8,deep
8,little
8,daylight
8,long
8,hot
8,comfortable
8,equip
8,external
8,close
8,fabulous
8,uncomfortable
8,difficult
8,uncomfortable
8,sleep
8,soft
8,waterbed
8,nice
8,linnen
8,dry
8,difficult
8,modern
8,necessary
8,bunch
8,cold
8,cold
8,horrible
8,shower
8,useless
8,arrive
8,normal
8,quest
8,miss
8,ok
9,bright
9,light
9,heavy
9,hot
9,great
9,good
9,wide
9,helpful
10,super
10,clean
10,comfortable
10,sleep
10,bad
10,clean
10,stylish
10,great
8,large
8,close
8,free
8,available
10,stay
10,couple
10,come
10,stay
9,friendly
9,old
9,good
9,busy
9,sleep
9,open
9,clear
9,guest
9,great
9,middle
9,historical
9,great
9,restaurant
9,helpful
9,preferred
8,terrestrial
8,aerial
8,un
8,watchable
8,sure
8,keen
8,comfortable
8,clean
8,helpful
8,good
6,negative
6,soft
6,thin
6,hear
6,guest
6,expensive
6,usual
6,positive
6,easy
6,clear
8,disconnect
8,large
8,tenant
8,close
8,quiet
8,late
8,overall
8,excellent
8,short
6,public
6,euro
6,quiet
6,upsetting
6,email
6,long
6,true
6,refurbishment
6,clean
6,nice
6,good
9,good
9,au
9,good
9,normal
9,noisy
9,organise
9,frozen
9,impressive
10,single
10,sofa
10,good
10,service
10,functional
10,furnish
10,great
10,cosy
10,close
10,European
10,cosy
10,friendly
10,colourful
10,human
10,trendy
10,clean
10,lovely
10,peaceful
10,present
10,great
10,healthy
10,healthy
10,organic
10,belgian
10,classic
10,second
9,special
9,huge
9,big
9,cosy
9,live
9,big
9,great
9,carre
9,eventhough
9,arrive
9,fresh
9,fresh
7,limited
7,cheap
7,long
7,wasteful
7,helpful
7,responsive
7,big
7,nice
7,private
7,inbthe
7,middle
10,explain
10,apartment
10,locate
10,big
10,specious
10,clean
10,pleasant
9,easy
