polarity,phrase,rating
pos,perfect cozy place relax,10
pos,friendly host,9
pos,perfect breakfast,9
neg,week beach winter,10
pos,location,10
pos,fab apartment,10
pos,quiet equip,10
pos,spotless,10
pos,house experience bliss luxury house sheer touch beauty wrap luxury compliment kindness care,10
pos,lisbette,10
neg,building musty,9
neg,bearable shower,9
neg,hot water,9
neg,cold water,9
neg,hot water,9
neg,check thing,9
pos,great apartment,9
pos,modern style equip need apartment,9
pos,lot downstair garage,9
pos,jan,9
pos,beautiful home,10
pos,great room,10
pos,comfortable bed hostess gracious,10
pos,generous hospitality stay,10
neg,owner app filling,10
pos,great perfect location,10
pos,perfect room,10
pos,clean need,10
pos,good good bath,10
pos,spacious room lot bath room,8
pos,electric car driver,8
pos,lidl givet,8
pos,kw,8
pos,excellent place stay,10
pos,helpful good place stay good,10
pos,romantic room corner train station,10
pos,nice different setting room cute detail,10
pos,excellent internet connection,10
pos,netflix,10
pos,great property price hotel,10
neg,coffee tea,7
neg,available room,7
pos,bath,7
pos,bit high good,7
pos,comfortable room,7
neg,room bit,8
neg,dull wall decoration plant room,8
neg,hotel level,9
pos,jourdan,10
pos,option dinner evening family,10
pos,super nice helpful breakfast,10
pos,super covid,10
pos,spectacular decor kindness host trouble,9
pos,central station facility,10
pos,lovely area,10
pos,lovely house,10
pos,lovely host,10
pos,rural area dinant mile km,10
pos,beautiful drive river,10
pos,givet,10
pos,mile km,10
pos,good experience,10
neg,stain floor room customer,9
pos,breakfast,9
pos,super super friendly host,9
pos,flexible good parkinglot,9
pos,perfect staff helpful,8
pos,parking vrijdamarkt,8
pos,fit minivan minute walk hotel,8
neg,negative thing,10
pos,garden duck pond tree,10
pos,beautiful clean property,10
pos,comfortable bed,10
pos,elegant decor tea coffee,10
pos,room fridge snack,10
pos,available wonderful breakfast almond croissant,10
pos,amazing beautiful place,10
pos,excellent breakfast,9
pos,professional staff,9
pos,ready help,9
pos,pretty brand,10
pos,new building,10
pos,modern cozy,10
pos,friendly owner,10
neg,soft person relate,8
pos,kind,8
pos,staff good location explore city,8
pos,clean real attention detail,10
pos,lovely breakfast,10
pos,extra large suite luxurious,10
pos,fresh bedlinen,10
pos,soft towel,10
pos,breakfast,10
pos,outstanding orangejuice coffee,10
pos,fresh fruit kind bread roll,10
pos,kind character hospitality,10
pos,liesbeth,10
pos,nice romatic getaway,10
pos,staff,10
pos,friendly helpful,10
neg,room setup bit,9
neg,strange double door separation bathroom room,9
neg,ideal equipment,9
neg,great style,9
pos,great bed lot space room bathroom,9
pos,right premise snack,9
pos,free water room breakfast area,9
pos,terrace space breakfast good staff,9
pos,excellent breakfast,7
pos,new cozy owner,9
pos,nice person breakfast,9
pos,amazing good value,9
pos,clean excellent location staff,7
neg,small table,8
neg,appropriate work,8
pos,friendly host,8
pos,quiet night,8
pos,great private atmosphere good facility experience nature city,10
neg,shower tv,7
