hotel_name,nationality,rating,review_title,review_neg,review_pos
Villa Pura Vida,Poland,10.0,exceptional,,perfect cozy place relax
Villa Pura Vida,Belgium,9.0,highly recommend enjoy lot,,friendly host perfect breakfast
Hydro Palace Apartment,United Kingdom,10.0,exceptional,want week beach winter,Location fab apartment quiet equip Spotless clean
Villa Pura Vida,Netherlands,10.0,stay house experience bliss luxury house sheer touch beauty wrap,,stay house experience bliss luxury house sheer touch beauty wrap luxury compliment kindness care Lisbette parent make remarkable stay
Hydro Palace Apartment,South Africa,9.2,bedroom apartment wonderful view free secure parking close main beach area,building musty smell hallway despite build apartment smell good make bearable shower hot water go minute second cold water come hot water come check thing like apartment,view great apartment furnish modern style equip need apartment clean free secure parking outside building parking lot downstair garage Jan respond promptly message send messenger
Villa Pura Vida,United Kingdom,10.0,fantastic beautiful home gracious welcome hostess,,beautiful home great room comfortable bed hostess gracious welcoming give husband lift conference thank generous hospitality stay
Love Nest Versailles - Unique Louis XIV decoration - Calm location right IN city center,Poland,10.0,perfect great bath room,message send owner app filling,great perfect location perfect room clean need inside good good bath
Gite Namaste,Netherlands,8.3,good,,spacious room lot bath room electric car driver free charging Lidl Givet kms KW
Hydro Palace Apartment,United Kingdom,9.2,superb,,
Villa Pura Vida,United States,10.0,highly recommend,place perfect,excellent place stay highly recommend stay stay extremely helpful good place stay good
Love Nest Versailles - Unique Louis XIV decoration - Calm location right IN city center,Belgium,10.0,super romantic venue cosy town,,romantic room corner train station nice different setting room cute detail excellent internet connection Netflix available
Gite Namaste,United Kingdom,10.0,exceptional,,great property price hotel
Hotel Saint Sauveur by WP Hotels,United Kingdom,7.5,good,like coffee tea available room,Bath bit high good comfortable room
B&B Hof Beygaert,Netherlands,8.0,good,room bit dull wall decoration plant room enjoyable,unlike equiped kitchen
Novotel Gent Centrum,Sweden,9.0,superb,breakfast well hotel level,
B&B Place Jourdan,Austria,10.0,exceptional,,locate Place Jourdan option dinner evening family super nice helpful breakfast prepare advance super covid safe
Villa Pura Vida,United Kingdom,9.6,excellent,,peacefulness spectacular decor kindness host trouble
Love Nest Versailles - Unique Louis XIV decoration - Calm location right IN city center,Netherlands,10.0,exceptional,,perfect near central station facility
Gite Namaste,United Kingdom,10.0,lovely break lovely area car absolutely require,,lovely area lovely house lovely host rural area dinant mile km North East beautiful drive river Givet mile km South East good experience thank warm welcome lovely stay love visit
Hotel Saint Sauveur by WP Hotels,Belgium,9.0,Christmas stay,stain floor room customer,
B&B Hof Beygaert,United States,9.0,excellent,,Breakfast super super friendly host flexible good parkinglot easily accesible
Novotel Gent Centrum,Germany,8.0,great location,room little dated,location perfect staff helpful recommend parking Parking Vrijdamarkt clean reasonably price fit minivan minute walk hotel
B&B Place Jourdan,Estonia,10.0,exceptional,negative thing,like
Villa Pura Vida,United Kingdom,10.0,Tranquil Residence middle Town,dislike,moment arrive felt completely welcome calm garden duck pond tree add tranquil set beautiful clean property extremely comfortable bed elegant decor tea coffee plus room fridge snack available wonderful breakfast almond croissant die owner definitely return
Love Nest Versailles - Unique Louis XIV decoration - Calm location right IN city center,Belgium,10.0,amazing beautiful place definitely recommend place,,amazing beautiful place definitely recommend place
Gite Namaste,Netherlands,8.8,fabulous,,
Hotel Saint Sauveur by WP Hotels,Belgium,9.2,superb,,excellent breakfast professional staff ready help preferred room go hotel
B&B Hof Beygaert,Netherlands,10.0,perfect accomodation,,private parking area pretty brand new building modern cozy warm tastefully decorate friendly owner
Novotel Gent Centrum,Belgium,8.0,good location explore city,matrasse soft person relate,Kind staff good location explore city
B&B Place Jourdan,Ireland,10.0,exceptional,,lovely welcome clean real attention detail lovely breakfast thank
Villa Pura Vida,Belgium,10.0,stay forget,,especially like extra large suite luxurious fresh bedlinen soft towel Breakfast outstanding orangejuice coffee fresh fruit kind bread roll especially surprised kind character hospitality Liesbeth
Love Nest Versailles - Unique Louis XIV decoration - Calm location right IN city center,France,10.0,close gare nice romatic getaway,,close gare nice romatic getaway
Marivaux Hotel,Singapore,10.0,exceptional,,Staff ap friendly helpful thank
Hotel Astoria Gent,Netherlands,9.0,definitely place stay gent,room setup bit strange double door separation bathroom room ideal equipment great style,great bed lot space room bathroom free parking right premise snack bar free water room breakfast area pretty especially weather permit terrace space breakfast good staff friendly
Hotel Saint Sauveur by WP Hotels,United Kingdom,7.9,excellent hotel overnight stay use extra facility,,excellent breakfast
B&B Hof Beygaert,Peru,9.6,nice warm,,new cozy owner nice person breakfast amazing good value
Novotel Gent Centrum,Mexico,7.0,good,,need clean excellent location staff friendly
B&B Place Jourdan,Switzerland,8.0,good,small table appropriate work,friendly host quiet night
Villa Pura Vida,Switzerland,10.0,choice stay Kortrijk,,great private atmosphere good facility experience nature city perfectly united
AppartHotel Belle Vue,Latvia,7.1,good,broken shower tv,room satisfactory apart bathroom hotel nice restaurant probably place town eat evening staff friendly
Le Studio de Christine,Belgium,9.0,cosy apartment city centre,,good location cosy spacious appartment kind hostess
Love Nest Versailles - Unique Louis XIV decoration - Calm location right IN city center,New Caledonia,10.0,exceptional,,People nice wonderful room cleanness easy find
Marivaux Hotel,United Kingdom,8.0,good,Windows open deep light little daylight take long time draw hot water,room comfortable equip Hotel quiet possibly external reason close city attraction
Hotel Astoria Gent,Croatia,8.0,good,dark room old wooden floor,small cute room bathroom whirlpool nice polite staff
Guest house Heysel Laeken Atomium,Chile,7.5,good,WiFi bad,clean
la heid d'ehan,Belgium,8.0,nice stay beautifully room nice view way accommodation,bed fabulous uncomfortable difficult uncomfortable sleep roll middle soft feel like waterbed nice linnen sheet bit smelly dry properly Shower difficult use modern lot gadget necessary get bunch cold water head plus cold water body side feel horrible shower head useless bit water come arrive breakfast host call hardly talk ask need normal way pay attention quest miss tv night ok,Location beautiful room
Hotel Saint Sauveur by WP Hotels,United Kingdom,9.2,season quiet pleasant break belgian coast,noise lift night bright flash red light smoke detector heavy quilt hot,swimming pool sauna basement great place relax good breakfast wide choice helpful staff
B&B Hof Beygaert,Spain,10.0,exceptional,,lovely owner tidy clean
Novotel Gent Centrum,Belgium,9.0,placed friendly hotel,,good location nice staff clean good price pet friendly plus
B&B Place Jourdan,Netherlands,9.0,superb,bit away metro station,space clean friendly service
Villa Pura Vida,Belgium,10.0,place Kortrijk,,Villa Pura Vida lovely super clean comfortable bed sleep OMG love pillow bathroom shower bad clean stylish design look Breakfast great thumb Liesbeth
AppartHotel Belle Vue,United Kingdom,9.2,pleasant night stopover way Germany,La Louviere pretty place entry car park narrow building,good italian restaurant hotel good level parking
Le Studio de Christine,Mexico,9.0,superb cosy apartment heart town,bathroom reach bedroom,heart city fantastic location
Love Nest Versailles - Unique Louis XIV decoration - Calm location right IN city center,Belgium,8.0,great place lovely location,door system work Johan fix quickly problem,lovely place clean great facility electric lock system mean free arrive later evening
Vintage Chalet in Sougne-Remouchamps near Forest,Netherlands,10.0,enjoy time definitely recommend place,,
